Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 97, 1012, 2, 0, 0, 0, 
5, 138, 1056, 23, 0, 0, 0, 
5, 179, 1315, 31, 0, 0, 0, 
5, 182, 982, 11, 0, 0, 0, 
5, 203, 976, 4, 0, 0, 0, 
5, 207, 1282, 20, 0, 0, 0, 
5, 230, 1289, 2, 2, 6, 2, 
5, 243, 911, 4, 2, 1, 1, 
5, 252, 1200, 32, 4, 29, 5, 
5, 254, 1175, 10, 9, 6, 1.44, 
5, 272, 1337, 9, 9, 4, 1.78, 
5, 298, 1392, 1, 1, 5, 3, 
5, 307, 1441, 35, 4, 1, 1, 
5, 346, 1324, 21, 0, 0, 0, 
5, 346, 1489, 1, 0, 0, 0, 
5, 348, 1383, 17, 17, 181, 5, 
5, 378, 942, 52, 3, 5, 3, 
5, 388, 1660, 3, 3, 14, 4, 
5, 389, 836, 1, 0, 0, 0, 
5, 399, 1578, 25, 9, 4, 1, 
5, 414, 1069, 3, 0, 0, 0, 
5, 418, 1050, 17, 17, 19, 3, 
5, 422, 1193, 6, 0, 0, 0, 
5, 425, 796, 1, 0, 0, 0, 
5, 431, 1344, 7, 0, 0, 0, 
5, 454, 1758, 10, 0, 0, 0, 
5, 467, 1010, 5, 3, 1, 2, 
5, 471, 737, 13, 1, 15, 4, 
5, 476, 1363, 5, 0, 0, 0, 
5, 479, 1266, 7, 2, 1, 1, 
5, 497, 1435, 5, 0, 0, 0, 
5, 506, 1229, 10, 1, 1, 1, 
5, 509, 1269, 0, 0, 0, 0, 
5, 510, 1291, 34, 0, 0, 0, 
5, 510, 1553, 7, 0, 0, 0, 
5, 520, 1515, 27, 0, 0, 0, 
5, 523, 1486, 41, 0, 0, 0, 
5, 557, 1396, 58, 56, 71, 2.96, 
5, 581, 1030, 8, 8, 62, 4, 
5, 586, 1368, 10, 9, 3, 2, 
5, 586, 1764, 7, 7, 7, 3, 
5, 590, 1212, 20, 0, 0, 0, 
5, 604, 1553, 27, 24, 18, 2, 
5, 607, 1111, 10, 1, 12, 4, 
5, 609, 1545, 22, 0, 0, 0, 
5, 610, 1013, 20, 19, 2, 1, 
5, 617, 1494, 4, 2, 1, 2, 
5, 617, 1565, 12, 0, 0, 0, 
5, 618, 1467, 26, 0, 0, 0, 
5, 625, 1162, 5, 5, 4, 1, 
5, 625, 1207, 8, 1, 1, 2, 
5, 636, 1834, 6, 0, 0, 0, 
5, 656, 1339, 29, 28, 10, 2, 
5, 661, 1385, 22, 11, 2, 1, 
5, 667, 1213, 5, 2, 4, 3, 
5, 686, 1549, 2, 0, 0, 0, 
5, 705, 1526, 38, 37, 5, 1, 
5, 705, 1656, 1, 0, 0, 0, 
5, 707, 1579, 19, 11, 20, 3, 
5, 721, 1041, 2, 2, 7, 3, 
5, 733, 1767, 8, 8, 10, 3, 
5, 740, 1376, 8, 0, 0, 0, 
5, 741, 1264, 11, 0, 0, 0, 
5, 762, 1506, 8, 0, 0, 0, 
5, 771, 844, 19, 0, 0, 0, 
5, 780, 877, 23, 1, 1, 2, 
5, 780, 1063, 2, 0, 0, 0, 
5, 780, 1398, 7, 0, 0, 0, 
5, 786, 1609, 6, 6, 70, 5, 
5, 792, 906, 1, 0, 0, 0, 
5, 792, 1364, 4, 0, 0, 0, 
5, 795, 1020, 4, 3, 1, 2, 
5, 811, 1368, 27, 0, 0, 0, 
5, 819, 382, 2, 0, 0, 0, 
5, 844, 977, 7, 4, 3, 2, 
5, 846, 1675, 7, 5, 4, 2, 
5, 849, 1574, 21, 20, 10, 2, 
5, 853, 1586, 21, 0, 0, 0, 
5, 864, 1207, 0, 0, 0, 0, 
5, 866, 1360, 5, 0, 0, 0, 
5, 877, 645, 8, 0, 0, 0, 
5, 877, 1202, 34, 30, 13, 1, 
5, 883, 695, 1, 0, 0, 0, 
5, 892, 1505, 0, 0, 0, 0, 
5, 898, 916, 2, 0, 0, 0, 
5, 906, 1334, 2, 0, 0, 0, 
5, 906, 1366, 14, 0, 0, 0, 
5, 909, 1652, 10, 10, 2, 1, 
5, 911, 1001, 5, 0, 0, 0, 
5, 913, 389, 16, 0, 0, 0, 
5, 915, 1108, 8, 0, 0, 0, 
5, 931, 640, 22, 15, 21, 3, 
5, 932, 1650, 42, 38, 5, 1, 
5, 942, 889, 10, 0, 0, 0, 
5, 954, 1137, 12, 0, 0, 0, 
5, 956, 692, 11, 0, 0, 0, 
5, 956, 1091, 7, 0, 0, 0, 
5, 977, 315, 21, 14, 9, 3, 
5, 977, 1284, 8, 0, 0, 0, 
5, 979, 1474, 40, 18, 5, 2, 
5, 988, 1515, 36, 0, 0, 0, 
5, 995, 348, 21, 20, 12, 3, 
5, 998, 949, 70, 70, 745, 5, 
5, 1003, 1132, 1, 1, 21, 5, 
5, 1008, 1674, 8, 0, 0, 0, 
5, 1010, 564, 42, 38, 13, 2, 
5, 1022, 376, 1, 0, 0, 0, 
5, 1042, 1029, 5, 1, 1, 2, 
5, 1046, 520, 1, 0, 0, 0, 
5, 1047, 1298, 6, 0, 0, 0, 
5, 1048, 923, 0, 0, 0, 0, 
5, 1051, 305, 6, 6, 16, 3, 
5, 1060, 998, 1, 0, 0, 0, 
5, 1062, 1351, 0, 0, 0, 0, 
5, 1069, 323, 10, 4, 1, 1, 
5, 1077, 360, 58, 0, 0, 0, 
5, 1084, 1623, 1, 1, 6, 5, 
5, 1091, 983, 6, 5, 5, 1, 
5, 1095, 1009, 10, 0, 0, 0, 
5, 1124, 676, 12, 12, 6, 3, 
5, 1125, 656, 55, 0, 0, 0, 
5, 1139, 1812, 3, 3, 5, 2, 
5, 1142, 1363, 33, 0, 0, 0, 
5, 1146, 455, 1, 0, 0, 0, 
5, 1150, 836, 7, 0, 0, 0, 
5, 1153, 1767, 4, 4, 6, 1.25, 
5, 1172, 1167, 44, 32, 13, 2, 
5, 1174, 580, 8, 0, 0, 0, 
5, 1180, 584, 36, 33, 197, 4, 
5, 1182, 976, 9, 7, 2, 2, 
5, 1182, 1237, 6, 2, 1, 1, 
5, 1185, 1162, 11, 0, 0, 0, 
5, 1217, 1681, 33, 0, 0, 0, 
5, 1218, 1283, 12, 0, 0, 0, 
5, 1223, 1213, 41, 41, 57, 3, 
5, 1233, 195, 18, 18, 4, 1, 
5, 1241, 384, 25, 25, 305, 5, 
5, 1243, 1776, 20, 10, 9, 3, 
5, 1245, 287, 24, 14, 3, 1, 
5, 1245, 1128, 22, 22, 15, 3, 
5, 1247, 1049, 33, 30, 39, 3, 
5, 1250, 1057, 9, 9, 73, 4, 
5, 1258, 1245, 6, 0, 0, 0, 
5, 1264, 1098, 15, 0, 0, 0, 
5, 1266, 1572, 68, 0, 0, 0, 
5, 1270, 1196, 19, 16, 12, 2, 
5, 1282, 268, 0, 0, 0, 0, 
5, 1286, 471, 2, 0, 0, 0, 
5, 1291, 557, 20, 19, 22, 3, 
5, 1291, 1068, 6, 6, 8, 2.83, 
5, 1293, 446, 2, 0, 0, 0, 
5, 1295, 420, 1, 0, 0, 0, 
5, 1295, 467, 16, 15, 1, 1, 
5, 1298, 566, 3, 0, 0, 0, 
5, 1302, 632, 35, 35, 25, 1.97, 
5, 1309, 1228, 22, 0, 0, 0, 
5, 1318, 473, 18, 15, 15, 3, 
5, 1337, 1098, 1, 0, 0, 0, 
5, 1342, 1171, 2, 0, 0, 0, 
5, 1363, 284, 4, 4, 51, 5, 
5, 1364, 303, 10, 10, 87, 4, 
5, 1367, 1337, 10, 8, 12, 3, 
5, 1373, 57, 4, 2, 2, 1, 
5, 1375, 302, 23, 19, 6, 2, 
5, 1376, 80, 10, 3, 7, 3, 
5, 1382, 1040, 3, 0, 0, 0, 
5, 1386, 300, 33, 0, 0, 0, 
5, 1399, 468, 3, 2, 22, 4, 
5, 1405, 1544, 6, 2, 2, 2, 
5, 1406, 741, 6, 5, 3, 1, 
5, 1411, 500, 15, 15, 13, 3, 
5, 1429, 1250, 9, 5, 1, 1, 
5, 1430, 1399, 50, 41, 459, 5, 
5, 1434, 1128, 11, 0, 0, 0, 
5, 1442, 1544, 12, 0, 0, 0, 
5, 1446, 852, 19, 16, 25, 3, 
5, 1448, 415, 24, 0, 0, 0, 
5, 1455, 1159, 5, 0, 0, 0, 
5, 1471, 944, 16, 0, 0, 0, 
5, 1480, 1091, 8, 0, 0, 0, 
5, 1486, 349, 3, 0, 0, 0, 
5, 1492, 482, 7, 6, 68, 4, 
5, 1495, 964, 1, 0, 0, 0, 
5, 1523, 213, 0, 0, 0, 0, 
5, 1527, 144, 36, 0, 0, 0, 
5, 1535, 740, 26, 26, 10, 2, 
5, 1542, 359, 0, 0, 0, 0, 
5, 1546, 352, 15, 15, 10, 1.87, 
5, 1564, 764, 2, 0, 0, 0, 
5, 1582, 638, 25, 0, 0, 0, 
5, 1599, 535, 37, 37, 464, 4.97, 
5, 1601, 894, 10, 0, 0, 0, 
5, 1636, 412, 33, 33, 448, 5, 
5, 1652, 484, 12, 0, 0, 0, 
5, 1664, 130, 25, 4, 6, 2, 
5, 1666, 358, 14, 0, 0, 0, 
5, 1675, 406, 6, 6, 2, 2, 
5, 1679, 137, 10, 0, 0, 0, 
5, 1680, 777, 8, 8, 46, 4, 
5, 1689, 121, 48, 4, 1, 1, 
5, 1699, 207, 19, 0, 0, 0, 
5, 1700, 884, 24, 22, 9, 1, 
5, 1701, 734, 5, 4, 1, 1, 
5, 1706, 408, 20, 19, 167, 4, 
5, 1707, 493, 1, 0, 0, 0, 
5, 1710, 750, 2, 0, 0, 0, 
5, 1720, 483, 53, 49, 19, 2, 
5, 1730, 607, 15, 15, 8, 2, 
5, 1732, 516, 4, 0, 0, 0, 
5, 1733, 515, 52, 0, 0, 0, 
5, 1738, 501, 6, 0, 0, 0, 
5, 1773, 468, 14, 12, 15, 3, 
5, 1786, 458, 3, 0, 0, 0, 
5, 1798, 537, 12, 8, 5, 1.88, 
5, 1806, 121, 15, 15, 13, 2.73, 
5, 1817, 159, 18, 7, 13, 3, 
5, 1827, 198, 0, 0, 0, 0, 
5, 1828, 545, 31, 30, 262, 4, 
5, 1841, 135, 32, 30, 4, 1, 
5, 1844, 558, 13, 12, 25, 3, 
